tz,name,feature,long,countycode,state,pop,elev,lat,featclass,wikilink,id
America/Chicago,Paducah,PPL,-88.60005,145,KY,26307,104,37.08339,P,"42001,42002,42003,http://en.wikipedia.org/wiki/Paducah%2C_Kentucky",4048662
America/Chicago,Dixie Inn,PPL,-93.3385,119,LA,335,53,32.59515,P,http://en.wikipedia.org/wiki/Dixie_Inn%2C_Louisiana,4048794
America/Chicago,Monticello,PPL,-91.394,035,LA,4718,26,32.59653,P,,4048850
America/Chicago,Red Chute,PPL,-93.61323,015,LA,6172,65,32.55598,P,http://en.wikipedia.org/wiki/Red_Chute%2C_Louisiana,4048888
America/Chicago,Sun,PPL,-89.89257,103,LA,488,21,30.64908,P,"70463,http://en.wikipedia.org/wiki/Sun%2C_Louisiana",4048920
America/New_York,Jessup,PPL,-76.77525,003,MD,8712,63,39.14927,P,http://en.wikipedia.org/wiki/Jessup%2C_Maryland,4049032
America/Chicago,Amoret,PPL,-94.58773,013,MO,219,258,38.2553,P,"64722,http://en.wikipedia.org/wiki/Amoret%2C_Missouri",4049120
America/Chicago,Cowgill,PPL,-93.92688,025,MO,258,296,39.55918,P,"64637,http://en.wikipedia.org/wiki/Cowgill%2C_Missouri",4049182
America/Chicago,Gordonville,PPL,-89.67926,031,MO,429,120,37.31116,P,"63752,http://en.wikipedia.org/wiki/Gordonville%2C_Missouri",4049194
America/Chicago,Prathersville,PPL,-92.32185,019,MO,128,244,39.0181,P,,4049312
America/New_York,Faith,PPL,-80.46284,159,NC,695,263,35.58708,P,"28041,http://en.wikipedia.org/wiki/Faith%2C_North_Carolina",4049714
America/Chicago,Billingsley,PPL,-86.71776,001,AL,115,113,32.65958,P,"36006,http://en.wikipedia.org/wiki/Billingsley%2C_Alabama",4049843
America/New_York,Polkville,PPL,-81.64287,045,NC,531,327,35.41763,P,"28136,http://en.wikipedia.org/wiki/Polkville%2C_North_Carolina",4049858
America/New_York,Vass,PPL,-79.28225,125,NC,769,93,35.25627,P,"28394,http://en.wikipedia.org/wiki/Vass%2C_North_Carolina",4049908
